id,latitude,longitude,street_count,type
1545734161,60.0164544,30.3848895,4,walk
1545734169,60.0218315,30.3861934,3,walk
1545734172,60.0253212,30.3891108,3,walk
1545734174,60.0162653,30.3843504,3,walk
1545734182,60.024728,30.3886124,3,walk
1545734203,60.0251407,30.3922615,3,walk
1545734205,60.0253848,30.3909018,3,walk
1545734232,60.017789,30.3869371,3,walk
1545734234,60.0253689,30.390824,4,walk
1545734241,60.0243853,30.3926382,5,walk
1545734246,60.025449,30.3908542,3,walk
1545734249,60.0175729,30.3868817,3,walk
1547410995,60.0158492,30.3941314,3,walk
1547410996,60.0156694,30.3948194,3,walk
1547411006,60.0152562,30.3952497,4,walk
1547411009,60.0165309,30.3974084,3,walk
1547411013,60.017486,30.3951019,3,walk
1547411015,60.0172517,30.3945598,3,walk
1547411018,60.0160815,30.3870655,3,walk
1547411020,60.01888,30.3906669,4,walk
1547411028,60.0181054,30.3926719,3,walk
1547411035,60.0168073,30.3939582,3,walk
1547411053,60.0187206,30.3909876,3,walk
1547411056,60.0167067,30.3941341,3,walk
1547411058,60.0181536,30.3921071,3,walk
1547411068,60.0189581,30.3941598,3,walk
1547411071,60.0178267,30.3923759,4,walk
1547411072,60.018943,30.3934842,4,walk
1547411074,60.0185059,30.3897585,3,walk
1547411076,60.0165425,30.3948162,3,walk
1547411078,60.0185816,30.3893194,3,walk
1547411079,60.0184624,30.3907499,3,walk
1547411092,60.0184168,30.3936317,3,walk
1547411094,60.0162688,30.3971582,4,walk
1547411103,60.0160215,30.3935012,3,walk
1547411111,60.0170339,30.3941676,4,walk
1547411113,60.015089,30.395925,3,walk
1547453965,60.0190067,30.3997989,3,walk
1547453974,60.0195605,30.3986387,5,walk
1547453977,60.0170907,30.393931,3,walk
1547453979,60.0200102,30.3991288,3,walk
1547453988,60.0184978,30.3966386,3,walk
1547453991,60.0205195,30.3996859,3,walk
1547453994,60.0208653,30.3984197,5,walk
1547454015,60.0191931,30.4001168,3,walk
1547454019,60.0186609,30.3959574,3,walk
1547454033,60.021786,30.3960319,3,walk
1547454047,60.0222388,30.4006735,3,walk
1547454061,60.0189275,30.402154,3,walk
1547454099,60.0176237,30.4000194,3,walk
1547454112,60.0207576,30.3997481,3,walk
1547454138,60.0177119,30.3987451,3,walk
1547454150,60.0165103,30.3933736,3,walk
1547454214,60.0224642,30.3985829,3,walk
1547454222,60.021127,30.4021667,3,walk
1547454226,60.0205177,30.3952875,3,walk
1547454228,60.0185857,30.399744,3,walk
1547454230,60.0214043,30.3974661,4,walk
1547454285,60.0210535,30.3952286,4,walk
1547454311,60.0216395,30.4033221,3,walk
1547454316,60.0219365,30.4036145,3,walk
1547454370,60.0182163,30.3977419,4,walk
1547454380,60.0205559,30.3995527,3,walk
1547454428,60.0173628,30.3964999,3,walk
1547454472,60.0206205,30.4017173,3,walk
1547454488,60.0211877,30.3995145,3,walk
1547454497,60.0216716,30.4036265,3,walk
1547454504,60.0154052,30.3949194,3,walk
1547454515,60.0221629,30.3997346,3,walk
1547454524,60.0175311,30.3999214,4,walk
1547454527,60.0214302,30.4019509,3,walk
1547454531,60.0188012,30.3989589,3,walk
1547454577,60.0221829,30.3941194,3,walk
1547454587,60.0222959,30.3942573,3,walk
1547454597,60.0203967,30.4039029,3,walk
1547454617,60.0154891,30.3950499,3,walk
1547454631,60.0210982,30.3985251,4,walk
1547454644,60.018321,30.3973338,3,walk
1547454649,60.0209964,30.4026417,3,walk
1547454706,60.0190401,30.4006443,3,walk
1547454728,60.0217756,30.4040798,3,walk
1547454776,60.0187834,30.401568,3,walk
1547454780,60.0206024,30.4042993,3,walk
1547454847,60.0174909,30.3998341,3,walk
1547454857,60.0220783,30.403789,3,walk
1547454861,60.0219085,30.4017722,3,walk
1547454864,60.0203559,30.3978627,4,walk
1547454887,60.0212484,30.4043216,3,walk
1547454959,60.0173962,30.3926572,4,walk
1547454967,60.015481,30.3945951,3,walk
1547477789,60.0214563,30.392368,3,walk
1547477792,60.0210107,30.3948456,3,walk
1547477800,60.0216203,30.3958457,4,walk
1547477805,60.0191197,30.394122,4,walk
1547477808,60.0210658,30.3931871,3,walk
1547477814,60.0209511,30.3936463,3,walk
1547477822,60.0208879,30.3930264,3,walk
1547477826,60.0178805,30.3885382,3,walk
1547477829,60.0212625,30.3971616,4,walk
1547477835,60.018597,30.3951233,3,walk
1547477841,60.0208463,30.3948927,3,walk
1547477861,60.0195209,30.3936174,3,walk
1547477863,60.0158586,30.3894005,3,walk
1547477864,60.0207211,30.3946154,3,walk
1547477868,60.0188147,30.3953438,3,walk
1547477869,60.0177704,30.3951007,4,walk
1547477876,60.0176688,30.3893846,3,walk
1547477879,60.020489,30.3947539,3,walk
1547477885,60.0192334,30.3937348,3,walk
1547477901,60.0175158,30.3994849,3,walk
1547477905,60.0171892,30.3948068,3,walk
1547477907,60.0202168,30.3910657,3,walk
1547477914,60.0173256,30.3890246,3,walk
1547477946,60.0206957,30.3965445,4,walk
1547489189,60.0188953,30.3913491,3,walk
1547489192,60.0200866,30.3902787,4,walk
1547489193,60.0192725,30.3909607,4,walk
1547489196,60.0189339,30.3899556,3,walk
1547489214,60.0191438,30.3914984,3,walk
1547489216,60.0228213,30.3970125,3,walk
1547489220,60.0191634,30.3928789,3,walk
1547489222,60.0193992,30.3903483,3,walk
1547489226,60.0189104,30.3920283,3,walk
1547489232,60.0189256,30.3927058,3,walk
1547489237,60.023234,30.3970621,3,walk
1547496103,60.0152687,30.3967488,4,walk
1547496105,60.0142218,30.3957203,4,walk
1547496108,60.0141718,30.397037,4,walk
1547496111,60.0149838,30.3978175,4,walk
1547496113,60.015406,30.3962388,4,walk
1547496115,60.0154477,30.3982103,4,walk
1547496117,60.0161126,30.3969792,4,walk
1547496124,60.0145604,30.395413,3,walk
1547496127,60.0156771,30.3972873,4,walk
1547496129,60.0144769,30.3957603,3,walk
1547496132,60.0136435,30.3965206,4,walk
1547496135,60.0139458,30.3968161,4,walk
1547496137,60.0157277,30.3984846,4,walk
1547507588,60.0174053,30.4111892,3,walk
1547507590,60.0190401,30.4097196,4,walk
1547507591,60.017494,30.4108701,3,walk
1547507592,60.0178492,30.4116583,3,walk
1547507593,60.014431,30.3972907,3,walk
1547507597,60.0146157,30.3971784,3,walk
1547507599,60.0173111,30.4115687,3,walk
1547507602,60.0177855,30.4120477,3,walk
1547526914,60.0169674,30.4100878,3,walk
1547526915,60.0159192,30.4107628,3,walk
1547526917,60.0171882,30.4102958,4,walk
1547526943,60.0164466,30.4102256,3,walk
1547526955,60.018709,30.4082973,3,walk
1547526957,60.0172877,30.4099148,3,walk
1552709937,60.0254527,30.3963264,3,walk
1552709939,60.0256117,30.3964846,3,walk
1552709945,60.025747,30.3966798,4,walk
1552709946,60.0263004,30.3971643,3,walk
1558228019,60.0278078,30.3683599,4,walk
1558238236,59.9995244,30.3770653,4,walk
1558238239,60.0003211,30.3722747,4,walk
1558238247,60.0229197,30.4073064,4,walk
1558238248,60.0229442,30.4073337,4,walk
1578960967,60.0167123,30.3802684,4,walk
1578960968,60.0168431,30.3802282,3,walk
1578962012,60.0168037,30.3709527,3,walk
1578962017,60.0176021,30.373588,3,walk
1630077173,60.0060518,30.3808217,3,walk
1630077777,60.0072597,30.3786099,4,walk
1638269959,60.0018507,30.3749538,3,walk
1638269999,60.0049865,30.382778,3,walk
1638270007,60.0053925,30.3770521,4,walk
1638270017,60.0057119,30.3784244,3,walk
1638270020,60.0058849,30.3773859,4,walk
1638270037,60.007056,30.3705006,4,walk
1638270040,60.0071461,30.3704366,4,walk
1638270045,60.0073055,30.3781296,4,walk
1638270046,60.0077478,30.3754524,4,walk
1638270096,60.0083998,30.3713379,3,walk
1638270097,60.0084194,30.3714539,3,walk
1638270098,60.0085879,30.3714755,4,walk
1648824169,60.0048354,30.3803139,3,walk
1658102751,60.0129378,30.397349,5,walk
1658102790,60.0131822,30.3982851,3,walk
1658102805,60.013354,30.3976098,3,walk
1658342332,59.9997254,30.3669349,3,walk
1658342372,60.0002334,30.3685258,3,walk
1658342379,60.000266,30.3668912,4,walk
1658342407,60.0004492,30.3683972,3,walk
1658342410,60.0008514,30.3672082,3,walk
1658342429,60.0005478,30.3775676,4,walk
1658342447,60.0006292,30.3672505,3,walk
1658342504,60.0048254,30.3796503,4,walk
1659010118,60.0206872,30.4039527,3,walk
1659010133,60.0210406,30.4026878,3,walk
1659010134,60.0210532,30.4048781,3,walk
1659010135,60.0210592,30.4037839,4,walk
1659010136,60.021072,30.4042508,4,walk
1659010137,60.0210853,30.4047751,3,walk
1659010140,60.021265,30.4022593,3,walk
1659010152,60.0217534,30.4027591,3,walk
1659010159,60.0221548,30.4037144,3,walk
1659010160,60.0221456,30.4031494,4,walk
1659010162,60.0221595,30.4015824,3,walk
1659363428,59.9974253,30.3755356,4,walk
1659363438,59.9976939,30.3747159,3,walk
1659363441,59.9979109,30.3748288,3,walk
1659363443,59.9981021,30.3747872,3,walk
1659363471,59.9989392,30.3717057,3,walk
1659363527,60.000036,30.3698711,3,walk
